date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:44	190249/190249	---M--	200	added ('OK')	image/jpeg	etag:%22cd6899a8fb6e261d4aaf3b3ae198a04d-ssl%22	https://www.vipuljha.com/images/portfolio/foodster.jpg	E:/nimu/rahul/www.vipuljha.com/images/portfolio/foodster.jpg	(from https://www.vipuljha.com/)
13:23:53	192939/192939	---M--	200	added ('OK')	image/jpeg	etag:%221aa384dc8e770e22839e8b2caf2823e5-ssl%22	https://www.vipuljha.com/images/portfolio/dopetech.jpg	E:/nimu/rahul/www.vipuljha.com/images/portfolio/dopetech.jpg	(from https://www.vipuljha.com/)
13:24:50	29839/29839	---M--	200	added ('OK')	image/jpeg	etag:fe6c8b673dfb3c89ac0fc7d7d63af99de0e108d9	https://d33wubrfki0l68.cloudfront.net/7e1fe3dfd3bd4cd1193e82982cc0f6872e09bf36/19d81/images/thumbnails/ebsproutthumb.jpg	E:/nimu/rahul/d33wubrfki0l68.cloudfront.net/7e1fe3dfd3bd4cd1193e82982cc0f6872e09bf36/19d81/images/thumbnails/ebsproutthumb.jpg	(from https://www.vipuljha.com/)
13:25:12	28939/28939	---M--	200	added ('OK')	image/jpeg	etag:bc916c05c2ffbcd815bb0676824df24d8ad2a1e3	https://d33wubrfki0l68.cloudfront.net/02dde000c64d4072786dd4a26182e5f3277f2715/ccfdd/images/thumbnails/vipulthumb.jpg	E:/nimu/rahul/d33wubrfki0l68.cloudfront.net/02dde000c64d4072786dd4a26182e5f3277f2715/ccfdd/images/thumbnails/vipulthumb.jpg	(from https://www.vipuljha.com/)
13:25:44	198862/198862	---M--	200	added ('OK')	image/jpeg	etag:%2276ffca37f33918fcf348bb268e9f0664-ssl%22	https://www.vipuljha.com/images/portfolio/vipul.jpg	E:/nimu/rahul/www.vipuljha.com/images/portfolio/vipul.jpg	(from https://www.vipuljha.com/)
13:25:46	29450/29450	---M--	200	added ('OK')	image/jpeg	etag:f2959a3358cf9a7550e049f0258ea08d9d0c0922	https://d33wubrfki0l68.cloudfront.net/e232cc761ed23c3b8863c3f31c385dfa6f2cd11e/df619/images/thumbnails/blissthumb.jpg	E:/nimu/rahul/d33wubrfki0l68.cloudfront.net/e232cc761ed23c3b8863c3f31c385dfa6f2cd11e/df619/images/thumbnails/blissthumb.jpg	(from https://www.vipuljha.com/)
13:26:01	184619/184619	---M--	200	added ('OK')	image/jpeg	etag:%223fd7deb0bd8ca0c23f4c956b6d0fcc5d-ssl%22	https://www.vipuljha.com/images/portfolio/bliss.jpg	E:/nimu/rahul/www.vipuljha.com/images/portfolio/bliss.jpg	(from https://www.vipuljha.com/)
13:26:03	29929/29929	---M--	200	added ('OK')	image/jpeg	etag:7a3aea00aa3796de591fcd0b187d5749e3b17a09	https://d33wubrfki0l68.cloudfront.net/889dff24beff5111ec3ca6d2dbf1c14e832e5d8c/2c26e/images/thumbnails/lineagethumb.jpg	E:/nimu/rahul/d33wubrfki0l68.cloudfront.net/889dff24beff5111ec3ca6d2dbf1c14e832e5d8c/2c26e/images/thumbnails/lineagethumb.jpg	(from https://www.vipuljha.com/)
13:26:05	197700/197700	---M--	200	added ('OK')	image/jpeg	etag:%22b3f7fe617d6a9ad5710c67d7152e90ab-ssl%22	https://www.vipuljha.com/images/portfolio/ebsprout.jpg	E:/nimu/rahul/www.vipuljha.com/images/portfolio/ebsprout.jpg	(from https://www.vipuljha.com/)
13:26:07	29824/29824	---M--	200	added ('OK')	image/jpeg	etag:22966bde1bd69f52deae408de9f035ae7401e79c	https://d33wubrfki0l68.cloudfront.net/e8f26681ecea07f962c864a770419f56fbfe7a04/33ae9/images/thumbnails/carbonthumb.jpg	E:/nimu/rahul/d33wubrfki0l68.cloudfront.net/e8f26681ecea07f962c864a770419f56fbfe7a04/33ae9/images/thumbnails/carbonthumb.jpg	(from https://www.vipuljha.com/)
13:26:07	93696/93696	---M--	200	added ('OK')	image/jpeg	etag:%225952e98eb0baa47174170005a529edc7-ssl%22	https://www.vipuljha.com/images/portfolio/lineage.jpg	E:/nimu/rahul/www.vipuljha.com/images/portfolio/lineage.jpg	(from https://www.vipuljha.com/)
13:26:10	71887/71887	---M--	200	added ('OK')	image/jpeg	etag:%22b2a2d8b8df6f620961c37f01b3ca9bae-ssl%22	https://www.vipuljha.com/images/portfolio/carbon.jpg	E:/nimu/rahul/www.vipuljha.com/images/portfolio/carbon.jpg	(from https://www.vipuljha.com/)
13:26:15	29496/29496	---M--	200	added ('OK')	image/jpeg	etag:30e52d65181e152a06823ae1d181e092b4dff052	https://d33wubrfki0l68.cloudfront.net/132d73c4c262161fd7694d3f8345ba950b866948/c0e4d/images/thumbnails/absthumb.jpg	E:/nimu/rahul/d33wubrfki0l68.cloudfront.net/132d73c4c262161fd7694d3f8345ba950b866948/c0e4d/images/thumbnails/absthumb.jpg	(from https://www.vipuljha.com/)
13:26:25	29946/29946	---M--	200	added ('OK')	image/jpeg	etag:3634ef1fd77cdce3681c99e434f2a02441694d82	https://d33wubrfki0l68.cloudfront.net/a47ec1512e5ecbf5cb03a729b800a7b24c82254d/54c26/images/thumbnails/newsthumb.jpg	E:/nimu/rahul/d33wubrfki0l68.cloudfront.net/a47ec1512e5ecbf5cb03a729b800a7b24c82254d/54c26/images/thumbnails/newsthumb.jpg	(from https://www.vipuljha.com/)
13:26:42	29684/29684	---M--	200	added ('OK')	image/jpeg	etag:a3e7a3e78ac6b85d841954aeac442ffbc4c3cfcd	https://d33wubrfki0l68.cloudfront.net/f27e58adcd72c72a8721107307d3984daa2bc7bc/7a641/images/thumbnails/snapthumb.jpg	E:/nimu/rahul/d33wubrfki0l68.cloudfront.net/f27e58adcd72c72a8721107307d3984daa2bc7bc/7a641/images/thumbnails/snapthumb.jpg	(from https://www.vipuljha.com/)
13:26:51	29288/29288	---M--	200	added ('OK')	image/jpeg	etag:b7c72d8e0cec267782efc9fa09cc9bdd9f07bd2b	https://d33wubrfki0l68.cloudfront.net/432759f8f8a03b6e5fa97db1075cf8ab58ab3e16/db981/images/thumbnails/udelerthumb.jpg	E:/nimu/rahul/d33wubrfki0l68.cloudfront.net/432759f8f8a03b6e5fa97db1075cf8ab58ab3e16/db981/images/thumbnails/udelerthumb.jpg	(from https://www.vipuljha.com/)
13:27:10	137666/137666	---M--	200	added ('OK')	image/jpeg	etag:%2259367ab08fecc9d766d20c732a665789-ssl%22	https://www.vipuljha.com/images/portfolio/udeler.jpg	E:/nimu/rahul/www.vipuljha.com/images/portfolio/udeler.jpg	(from https://www.vipuljha.com/)
13:27:16	198981/198981	---M--	200	added ('OK')	image/jpeg	etag:%229398549ba377f96559e4aa61fd0be66b-ssl%22	https://www.vipuljha.com/images/portfolio/snap.jpg	E:/nimu/rahul/www.vipuljha.com/images/portfolio/snap.jpg	(from https://www.vipuljha.com/)
13:27:17	198684/198684	---M--	200	added ('OK')	image/jpeg	etag:%22d840cbb8d8fe5d137bbed4bd713d48d7-ssl%22	https://www.vipuljha.com/images/portfolio/abs.jpg	E:/nimu/rahul/www.vipuljha.com/images/portfolio/abs.jpg	(from https://www.vipuljha.com/)
13:27:19	29982/29982	---M--	200	added ('OK')	image/jpeg	etag:aa8baed32f8a0dcb7ef0931f08a6aea8f2bbd0bc	https://d33wubrfki0l68.cloudfront.net/f2fd3d7bf3d20b944d84bbc3df839365f1d39571/1fe2b/images/thumbnails/cappsthumb.jpg	E:/nimu/rahul/d33wubrfki0l68.cloudfront.net/f2fd3d7bf3d20b944d84bbc3df839365f1d39571/1fe2b/images/thumbnails/cappsthumb.jpg	(from https://www.vipuljha.com/)
13:27:22	28595/28595	---M--	200	added ('OK')	image/jpeg	etag:98703a4c6711bb8d8a0069536321bacc8a916f03	https://d33wubrfki0l68.cloudfront.net/c2da94dacc26d172f70ce8bc9a7cc123f7b94996/73837/images/thumbnails/cafthumb.jpg	E:/nimu/rahul/d33wubrfki0l68.cloudfront.net/c2da94dacc26d172f70ce8bc9a7cc123f7b94996/73837/images/thumbnails/cafthumb.jpg	(from https://www.vipuljha.com/)
13:27:38	185410/185410	---M--	200	added ('OK')	image/jpeg	etag:%224b1c251a9b9ee20babca122935ecc5ad-ssl%22	https://www.vipuljha.com/images/portfolio/capps.jpg	E:/nimu/rahul/www.vipuljha.com/images/portfolio/capps.jpg	(from https://www.vipuljha.com/)
13:27:53	186092/186092	---M--	200	added ('OK')	image/jpeg	etag:%22ce03ce3ecfe31d9478d57accd1bff508-ssl%22	https://www.vipuljha.com/images/portfolio/caf.jpg	E:/nimu/rahul/www.vipuljha.com/images/portfolio/caf.jpg	(from https://www.vipuljha.com/)
13:27:55	88145/88145	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	E:/nimu/rahul/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://www.vipuljha.com/)
13:27:56	571/571	---M--	200	added ('OK')	application/javascript	etag:%22ad805a864d5d755579cc600edaa4bf93-ssl%22	https://www.vipuljha.com/js/security.js	E:/nimu/rahul/www.vipuljha.com/js/security.js	(from https://www.vipuljha.com/)
13:27:57	7882/7882	---M-Z	200	added ('OK')	application/javascript	etag:%2242ffa2b975e42e86a5302a19068e0904-ssl-df%22	https://www.vipuljha.com/js/jquery.superslides.min.js	E:/nimu/rahul/www.vipuljha.com/js/jquery.superslides.min.js	(from https://www.vipuljha.com/)
